,name,github_id,labels,category,homepage,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,pypi_id,pypi_url,pypi_monthly_downloads,trending,updated_github_id,doc_url,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,gitlab_id,gitlab_url
56,PhysX 5,NVIDIA-Omniverse/PhysX,[],physics,https://nvidia-omniverse.github.io/PhysX/,https://github.com/NVIDIA-Omniverse/PhysX,BSD-3-Clause,2022-10-04 09:07:32,2026-06-02 15:57:55,2026-06-02 13:17:28,42.0,4.0,566.0,62.0,54.0,63.0,133.0,4582.0,2026-06-02 16:08:13,ovphysx-0.4.13,945.0,21.0,25.0,NVIDIA PhysX SDK.,,,10.0,18,True,3.0,,,,,,,,,,,,,,,
57,Gym Pybullet Drones,utiasDSL/gym-pybullet-drones,[],aerial,https://utiasdsl.github.io/gym-pybullet-drones/,https://github.com/learnsyslab/gym-pybullet-drones,MIT,2020-08-10 07:38:09,2026-05-31 13:41:05,2026-05-31 13:41:05,848.0,9.0,512.0,16.0,72.0,110.0,114.0,2036.0,2021-03-09 21:11:22,1.0.0,,,5.0,PyBullet Gymnasium environments for single and multi-agent reinforcement learning of quadcopter control.,,,23.0,18,True,2.0,,,,,learnsyslab/gym-pybullet-drones,,,,,,,,,,
58,RotorS,ethz-asl/rotors_simulator,[],aerial,https://github.com/ethz-asl/rotors_simulator,https://github.com/ethz-asl/rotors_simulator,mit,2014-03-18 15:02:10,2024-07-15 13:12:46,2021-07-06 12:37:20,1780.0,,683.0,94.0,339.0,161.0,220.0,1478.0,,,,,,RotorS is a UAV gazebo simulator.,,,49.0,18,True,2.0,,,,,,,,,,,,,,,
59,OpenRAVE,rdiankov/openrave,[],robotics,https://openrave.org/,https://github.com/rdiankov/openrave,Apache-2 and LGPL-3,2012-09-14 05:40:51,2026-06-01 08:15:34,2024-08-16 12:00:23,10375.0,,334.0,71.0,1032.0,298.0,224.0,805.0,,,,,,"Open Robotics Automation Virtual Environment: An environment for testing, developing, and deploying robotics motion..",,,123.0,18,True,2.0,,,,,,,,,,,,,,,
60,Project AirSim,iamaisim/ProjectAirSim,,aerial,https://iamaisim.github.io/ProjectAirSim/,https://github.com/iamaisim/ProjectAirSim,MIT,2025-05-13 15:24:25,2026-06-01 15:59:38,2026-06-01 15:34:48,69.0,28.0,123.0,31.0,81.0,38.0,18.0,695.0,2026-06-01 15:59:39,0.2.0,3394.0,308.0,2.0,"Project AirSim is Microsofts evolution of AirSim, an advanced simulation platform for building, training, and testing..",,,16.0,18,True,2.0,,,,2.0,,,,,,,,,,,
61,AutonomousVehicleControlBeginnersGuide,ShisatoYano/AutonomousVehicleControlBeginnersGuide,,flatsim,https://github.com/ShisatoYano/AutonomousVehicleControlBeginnersGuide,https://github.com/ShisatoYano/AutonomousVehicleControlBeginnersGuide,MIT,2022-07-01 14:00:16,2026-05-23 11:56:07,2026-05-23 11:56:07,1600.0,41.0,233.0,32.0,37.0,7.0,19.0,1582.0,,,,,,Python sample codes and documents about Autonomous vehicle control algorithm. This project can be used as a technical..,,,16.0,17,True,2.0,,,,,,,,,,,,,,,
62,RoboCasa,robocasa/robocasa,,ml,https://robocasa.ai/,https://github.com/robocasa/robocasa,mit,2024-05-11 11:14:03,2026-05-21 18:06:43,2026-05-21 18:06:33,74.0,16.0,185.0,13.0,21.0,53.0,124.0,1437.0,2026-02-18 18:13:50,1.0,,,2.0,RoboCasa: Large-Scale Simulation of Everyday Tasks for Generalist Robots.,,,5.0,17,True,3.0,,,,,,,,,,,,,,,
63,Flightmare,uzh-rpg/flightmare,[],aerial,https://uzh-rpg.github.io/flightmare/,https://github.com/uzh-rpg/flightmare,MIT,2020-07-14 12:40:25,2024-06-14 15:36:57,2023-05-15 08:41:51,139.0,,386.0,34.0,37.0,117.0,62.0,1366.0,2020-12-01 16:59:05,0.0.5,6688.0,95.0,5.0,An Open Flexible Quadrotor Simulator.,,,7.0,17,True,2.0,,,,,,,,,,,,,,,
64,Holodeck,BYU-PCCL/holodeck,,ml,https://github.com/BYU-PCCL/holodeck,https://github.com/BYU-PCCL/holodeck,MIT,2016-10-07 22:12:04,2022-02-19 05:41:14,2021-04-30 02:11:03,1025.0,,42.0,18.0,210.0,50.0,196.0,596.0,2020-04-02 23:24:07,0.3.1,,,5.0,High Fidelity Simulator for Reinforcement Learning and Robotics Research.,10.0,10.0,20.0,17,True,3.0,,,,,,,,,,,,,,,
65,mvsim,MRPT/mvsim,[],flatsim,https://github.com/MRPT/mvsim,https://github.com/MRPT/mvsim,BSD-3-Clause,2014-08-10 00:24:05,2026-05-19 19:15:48,2026-05-19 19:15:44,1406.0,20.0,58.0,9.0,67.0,5.0,30.0,401.0,2024-05-09 10:28:56,0.9.4,,,8.0,Vehicle and mobile robotics simulator. C++ & Python API. Use it as a standalone application or via ROS 1 or ROS 2.,,,9.0,17,True,2.0,,,,,,https://mvsimulator.readthedocs.io/,,,,,,,,,
