,name,github_id,category,homepage,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,doc_url,labels,trending,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,home_page,docs_url,update_at,last_commit_pushed_at,commit_count,closed_issue_count,gitlab_id,gitlab_url
20,jaxsim,ami-iit/jaxsim,ml,https://jaxsim.readthedocs.io,jaxsim,4.0,4.0,16.0,,BSD-3-Clause,2024-02-04 08:51:02.484000,2026-06-03 13:07:23,15,22.0,,197.0,A differentiable physics engine and multibody dynamics library for control and robot learning.,https://pypi.org/project/jaxsim,2026-06-03 13:07:23,2026-04-29 10:24:44,0.9.0,356.0,,1056.0,1740.0,True,2.0,,,,conda-forge/jaxsim,https://anaconda.org/conda-forge/jaxsim,2026-04-29 13:23:30.608,21225.0,,,,,,,,
21,O3DE,o3de/o3de,game,https://o3de.org/,,,,345.0,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-03-05 22:08:38,14,2427.0,3512.0,8973.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,,,,,,,True,2.0,,[],,,,,,,,,,,,,
22,O3DE for Robotics,o3de/o3de,robotics,https://o3de.org/,,,,345.0,https://github.com/o3de/o3de,MIT and Apache-2,2021-04-05 06:38:18,2026-03-05 22:08:38,14,2427.0,3512.0,8973.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,,,,,,,True,1.0,,[],,,,,,,,,,,,,
23,Atom,o3de/o3de,render,https://docs.o3de.org/docs/atom-guide/,,,,345.0,https://github.com/o3de/o3de,Apache-2.0 and MIT,2021-04-05 06:38:18,2026-03-05 22:08:38,14,2427.0,3512.0,8973.0,Open 3D Engine (O3DE) is an Apache 2.0-licensed multi-platform 3D engine that enables developers and content creators..,,,,,,,,,True,2.0,,[],,,,,,,,,,,,,
24,Drake,RobotLocomotion/drake,physics,https://drake.mit.edu/,,,,281.0,https://github.com/RobotLocomotion/drake,BSD-3-Clause,2014-01-26 16:11:05,2026-03-19 07:11:31,14,1355.0,711.0,3947.0,Model-based design and verification for robotics.,,,,,,,,,True,2.0,,[],,,,,,,,,,,,,
25,Project CHRONO,projectchrono/chrono,physics,https://projectchrono.org,,,,155.0,https://github.com/projectchrono/chrono,BSD 3-Clause,2013-09-03 15:34:23,2026-07-29 16:38:08,14,619.0,21.0,2955.0,High-performance C++ library for multiphysics and multibody dynamics simulations.,,,,,,,,,True,2.0,,,,,,,,,,,,,,,
26,DART,dartsim/dart,physics,http://dartsim.github.io/,,9.0,9.0,79.0,https://github.com/dartsim/dart,BSD-2-Clause,2011-09-19 21:53:51,2026-07-19 03:11:10,14,300.0,7.0,1160.0,"Research-focused C++23 physics engine for robotics, animation, and machine learning, with Python bindings.",,,,,,,,,True,2.0,,[],,,,,,,,,,,,,
27,Jiminy,duburcqa/jiminy,ml,https://github.com/duburcqa/jiminy,jiminy-py,2.0,,9.0,https://github.com/duburcqa/jiminy,MIT,2019-10-04 08:33:59,2025-05-01 14:05:42,14,28.0,36.0,257.0,Jiminy: a fast and portable Python/C++ simulator of poly-articulated robots with OpenAI Gym interface for..,https://pypi.org/project/jiminy-py,2025-05-01 14:05:42,2025-05-01 14:05:42,1.8.13,170.0,2.0,1872.0,1872.0,True,2.0,,,,,,,,,,,,,,,
28,PyFlyt,jjshoots/PyFlyt,aerial,https://github.com/jjshoots/PyFlyt,pyflyt,41.0,39.0,12.0,https://github.com/jjshoots/PyFlyt,MIT,2022-05-27 15:44:46,2025-03-01 13:10:00,14,24.0,14.0,131.0,UAV Flight Simulator for Reinforcement Learning Research.,https://pypi.org/project/pyflyt,2025-03-01 13:10:00,2025-03-01 13:10:00,0.29.0,133.0,2.0,804.0,804.0,True,1.0,,,,,,,,https://taijunjet.com/PyFlyt/index.html,,,,,,,
29,OGRE,OGRECave/ogre,render,https://www.ogre3d.org/,,,,343.0,https://github.com/OGRECave/ogre,MIT,2015-11-29 15:57:03,2026-01-31 18:14:28,13,1037.0,171.0,4476.0,"scene-oriented, flexible 3D engine (C++, Python, C#, Java).",,,,,,,,,True,2.0,,[],,,,,,,,,,,,,
